interval_from,interval_to,LST_B0_min,LST_B0_max,LST_B0_mean,LST_B0_stDev,LST_B0_sampleCount,LST_B0_noDataCount,poly_id,landcover,elv
2020-03-07,2020-03-08,289.0799865722656,289.0799865722656,289.0799865722656,0.0,65536,440,34,30.0,886.4879150390625
2020-03-09,2020-03-10,289.0299987792969,289.0299987792969,289.0299987792969,0.0,65536,440,34,30.0,886.4879150390625
2020-03-11,2020-03-12,286.44000244140625,286.44000244140625,286.44000244140625,0.0,65536,440,34,30.0,886.4879150390625
2020-03-13,2020-03-14,289.3999938964844,289.3999938964844,289.3999938964844,0.0,65536,440,34,30.0,886.4879150390625
2020-03-14,2020-03-15,291.05999755859375,291.05999755859375,291.05999755859375,0.0,65536,440,34,30.0,886.4879150390625
2020-03-15,2020-03-16,288.9700012207031,288.9700012207031,288.9700012207031,0.0,65536,440,34,30.0,886.4879150390625
2020-03-16,2020-03-17,290.0799865722656,290.0799865722656,290.0799865722656,0.0,65536,440,34,30.0,886.4879150390625
2020-03-18,2020-03-19,287.42999267578125,287.42999267578125,287.42999267578125,0.0,65536,440,34,30.0,886.4879150390625
2020-03-20,2020-03-21,287.69000244140625,287.69000244140625,287.69000244140625,0.0,65536,440,34,30.0,886.4879150390625
2020-03-22,2020-03-23,287.7900085449219,287.7900085449219,287.7900085449219,0.0,65536,440,34,30.0,886.4879150390625
2020-03-23,2020-03-24,289.5,289.5,289.5,0.0,65536,440,34,30.0,886.4879150390625
2020-03-25,2020-03-26,287.57000732421875,287.57000732421875,287.57000732421875,0.0,65536,440,34,30.0,886.4879150390625
2020-03-27,2020-03-28,290.1000061035156,290.1000061035156,290.1000061035156,0.0,65536,440,34,30.0,886.4879150390625
2020-03-29,2020-03-30,288.45001220703125,288.45001220703125,288.45001220703125,0.0,65536,440,34,30.0,886.4879150390625
2020-03-30,2020-03-31,292.45001220703125,292.45001220703125,292.45001220703125,0.0,65536,440,34,30.0,886.4879150390625
2020-03-31,2020-04-01,290.510009765625,290.510009765625,290.510009765625,0.0,65536,440,34,30.0,886.4879150390625
2020-04-01,2020-04-02,289.8800048828125,289.8800048828125,289.8800048828125,0.0,65536,440,34,30.0,886.4879150390625
2020-04-03,2020-04-04,289.739990234375,289.739990234375,289.739990234375,0.0,65536,440,34,30.0,886.4879150390625
2020-04-05,2020-04-06,290.79998779296875,290.79998779296875,290.79998779296875,0.0,65536,440,34,30.0,886.4879150390625
2020-04-07,2020-04-08,293.0400085449219,293.0400085449219,293.0400085449219,0.0,65536,440,34,30.0,886.4879150390625
2020-04-08,2020-04-09,293.7099914550781,293.7099914550781,293.7099914550781,0.0,65536,440,34,30.0,886.4879150390625
2020-04-10,2020-04-11,292.1000061035156,292.1000061035156,292.1000061035156,0.0,65536,440,34,30.0,886.4879150390625
